               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.048278,            0.013836,                   0,           2.045e-05,           0.0091556,           1.032e-05,          2.2903e-06,            0.046357,           0.0063462,                   0,             0.07008,           0.0033244,           0.0033244
                   1,            0.028672,           0.0099776,                   0,           0.0010893,             0.48728,          0.00085168,          0.00018139,            0.036559,           0.0057612,                   0,            0.040014,           0.0065919,           0.0065919
                   2,            0.025483,           0.0081182,                   0,            0.004287,             0.66836,            0.011797,            0.001872,            0.037571,           0.0051189,                   0,           0.0098822,           0.0097933,           0.0097933
                   3,            0.023239,           0.0070377,                   0,           0.0068823,             0.72838,            0.055068,             0.01008,            0.037907,           0.0048761,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.019588,           0.0049838,                   0,             0.27968,             0.37945,             0.16453,             0.02541,             0.03618,           0.0044403,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.017567,           0.0036101,                   0,             0.24138,             0.34995,             0.12146,            0.015868,            0.037728,           0.0039678,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.017673,           0.0027895,                   0,             0.47695,             0.65583,             0.37792,             0.10692,            0.033602,           0.0039089,                   0,            0.009505,            0.009505,            0.009505
                   7,             0.01572,            0.002578,                   0,             0.47295,             0.55849,             0.35304,             0.10733,            0.033859,           0.0039595,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.015282,           0.0023846,                   0,              0.4297,             0.71007,              0.3688,             0.13907,            0.033044,           0.0044206,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.014492,           0.0022269,                   0,             0.45768,             0.63683,             0.37339,             0.13562,            0.032716,           0.0042701,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.01375,           0.0021393,                   0,             0.39319,              0.6531,             0.33213,             0.14455,             0.03067,           0.0047105,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.013096,           0.0020724,                   0,             0.46325,             0.64293,             0.38195,             0.16357,            0.029687,           0.0050754,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.012579,           0.0019467,                   0,             0.41316,             0.69074,              0.3495,             0.14224,            0.028066,           0.0051229,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.012843,           0.0019657,                   0,             0.38845,             0.66749,             0.32599,             0.14505,            0.031199,           0.0049512,                   0,            0.008812,            0.008812,            0.008812
                  14,              0.0127,           0.0019443,                   0,             0.42114,             0.67868,              0.3763,             0.12184,              0.0311,           0.0044064,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.012033,            0.001919,                   0,             0.42181,             0.65607,              0.3682,             0.13327,            0.029222,           0.0045934,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.012092,           0.0019609,                   0,             0.46572,             0.71294,             0.41936,              0.1582,            0.028144,           0.0040572,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.011705,           0.0018282,                   0,             0.51848,             0.67141,             0.47196,             0.19899,            0.027976,           0.0040648,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.011768,           0.0018738,                   0,             0.41617,             0.63276,             0.35383,             0.11963,            0.030597,           0.0045589,                   0,            0.008317,            0.008317,            0.008317
                  19,             0.01099,           0.0017802,                   0,             0.42756,             0.71271,              0.3788,             0.11855,            0.030755,           0.0041327,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.011832,            0.001872,                   0,             0.40998,             0.69786,             0.34469,             0.13914,            0.029652,           0.0047266,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.011731,           0.0017912,                   0,             0.57278,             0.72635,             0.52904,             0.21244,            0.027398,           0.0038987,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.010943,            0.001739,                   0,             0.50448,              0.6765,             0.45136,             0.18181,            0.029542,            0.004201,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.010614,           0.0017492,                   0,             0.45209,             0.70675,             0.42098,             0.15454,            0.029506,           0.0041492,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.010998,           0.0017182,                   0,             0.51235,             0.62527,             0.43988,             0.15821,            0.029459,           0.0041464,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.011271,             0.00178,                   0,              0.5654,             0.72395,             0.50714,             0.20862,            0.027453,           0.0041255,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.011537,           0.0017725,                   0,             0.49093,             0.66633,             0.44305,             0.17725,             0.02825,           0.0042364,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.010587,           0.0016948,                   0,             0.48155,              0.6765,             0.42472,             0.14766,            0.028755,           0.0044089,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.010661,           0.0016747,                   0,             0.53107,             0.70193,             0.48168,             0.22212,            0.026785,           0.0046359,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.010626,           0.0016713,                   0,             0.59747,             0.66286,             0.54037,             0.25178,            0.028962,           0.0039005,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.010412,           0.0017248,                   0,             0.52101,             0.64395,             0.45558,             0.20179,            0.029432,           0.0045118,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.010452,           0.0016056,                   0,             0.52592,             0.70295,             0.47521,             0.19983,            0.027643,           0.0044601,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.010236,           0.0016757,                   0,             0.54848,             0.60529,             0.46725,             0.16427,             0.03041,           0.0041734,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.010427,           0.0016595,                   0,             0.54245,             0.64903,             0.47907,             0.19423,             0.02886,           0.0045682,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.010577,            0.001685,                   0,             0.46197,             0.71719,             0.38549,             0.14874,            0.030346,           0.0048738,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.010176,           0.0016793,                   0,              0.5688,             0.76806,              0.5238,             0.21627,            0.026461,           0.0042513,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.010183,           0.0016362,                   0,             0.51164,             0.70905,             0.45558,             0.19627,            0.026348,           0.0045408,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.010095,            0.001609,                   0,              0.5111,             0.69685,             0.44974,             0.19704,            0.027482,           0.0045501,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.010312,           0.0016631,                   0,             0.52751,             0.76195,             0.49513,             0.22658,            0.025413,            0.004393,                   0,            0.006337,            0.006337,            0.006337
                  39,           0.0099703,           0.0015799,                   0,              0.4799,             0.75788,             0.47848,             0.21154,            0.025056,           0.0044746,                   0,            0.006238,            0.006238,            0.006238
                  40,           0.0098869,           0.0016733,                   0,             0.47017,             0.65107,               0.424,             0.17961,            0.026203,           0.0047951,                   0,            0.006139,            0.006139,            0.006139
                  41,           0.0098735,           0.0016379,                   0,             0.46233,             0.71211,             0.42272,             0.20124,            0.023967,           0.0052217,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.010058,           0.0016226,                   0,             0.43932,             0.69074,             0.39949,             0.14522,            0.029561,           0.0044991,                   0,            0.005941,            0.005941,            0.005941
