               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.033266,           0.0052587,                   0,              0.9829,             0.83492,             0.85817,             0.51345,            0.036608,           0.0050943,                   0,            0.070007,           0.0033326,           0.0033326
                   1,            0.033328,           0.0052247,                   0,             0.98469,             0.84314,             0.86928,             0.52971,            0.036277,           0.0049995,                   0,            0.039787,           0.0064459,           0.0064459
                   2,            0.034415,           0.0054294,                   0,              0.9814,             0.83481,             0.86681,              0.5372,            0.035528,           0.0050308,                   0,           0.0093469,           0.0093393,           0.0093393
                   3,            0.035266,           0.0055611,                   0,             0.98266,             0.84626,             0.86611,             0.53129,            0.035892,           0.0049825,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.034761,           0.0054847,                   0,             0.97735,             0.84115,             0.86098,              0.5316,            0.035906,           0.0049845,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.034066,            0.005416,                   0,             0.97318,             0.83978,              0.8595,             0.53284,            0.036016,           0.0049633,                   0,             0.00868,             0.00868,             0.00868
                   6,             0.03364,           0.0053327,                   0,             0.97611,             0.83663,             0.85984,             0.53485,            0.035923,           0.0049827,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.033245,           0.0052947,                   0,             0.97656,             0.83985,             0.86053,             0.53658,            0.035756,           0.0049977,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.032885,           0.0052575,                   0,             0.97416,             0.84417,             0.86124,             0.53681,            0.035693,           0.0049921,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.032462,           0.0052063,                   0,             0.97406,             0.84624,             0.86128,             0.53795,            0.035724,           0.0049834,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.032229,           0.0051429,                   0,             0.97465,             0.84531,             0.86144,             0.53914,            0.035702,           0.0049628,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.031922,           0.0051326,                   0,             0.97693,             0.84126,              0.8611,             0.53902,            0.035709,           0.0049714,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.031647,            0.005089,                   0,             0.96996,             0.84252,             0.86098,             0.53866,            0.035699,           0.0049723,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.03129,           0.0050639,                   0,             0.97654,             0.84122,             0.86128,              0.5386,            0.035762,           0.0049667,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.031058,           0.0050202,                   0,              0.9794,             0.84293,             0.86165,             0.53819,            0.035793,            0.004961,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.030815,            0.004987,                   0,             0.97971,             0.84341,             0.86153,             0.53733,            0.035888,           0.0049652,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.030578,             0.00494,                   0,             0.98096,              0.8428,             0.86134,             0.53616,             0.03592,           0.0049808,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.030283,           0.0049142,                   0,             0.98002,             0.84362,             0.86133,             0.53548,              0.0359,           0.0049898,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.029891,           0.0048769,                   0,             0.98107,             0.84335,              0.8618,             0.53638,            0.035856,           0.0049996,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.029635,           0.0048575,                   0,             0.98224,             0.84307,             0.86209,             0.53582,            0.035917,           0.0050108,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.029295,           0.0048083,                   0,             0.98147,             0.84239,              0.8616,             0.53397,            0.036041,           0.0050238,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.029011,           0.0047663,                   0,             0.98077,             0.84218,             0.86146,             0.53297,            0.036145,           0.0050313,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.028682,           0.0047223,                   0,             0.98196,             0.84191,             0.86124,             0.53153,            0.036283,            0.005028,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.028301,           0.0046782,                   0,             0.98305,             0.84205,             0.86122,             0.53084,            0.036437,           0.0050261,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.027917,           0.0046376,                   0,             0.98256,             0.84095,             0.86065,             0.52931,            0.036618,           0.0050326,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.027543,           0.0045617,                   0,             0.98208,             0.83876,             0.85989,             0.52876,            0.036773,           0.0050457,                   0,             0.00208,             0.00208,             0.00208
                  26,             0.02701,           0.0045118,                   0,             0.98176,             0.83704,             0.85914,             0.52769,            0.036919,           0.0050666,                   0,             0.00175,             0.00175,             0.00175
                  27,            0.026491,            0.004433,                   0,             0.98181,             0.83564,             0.85869,             0.52655,            0.037063,           0.0050886,                   0,             0.00142,             0.00142,             0.00142
                  28,             0.02593,           0.0043806,                   0,              0.9825,             0.83513,             0.85786,             0.52544,            0.037189,           0.0051116,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.025429,           0.0043004,                   0,             0.98401,             0.83456,              0.8578,              0.5241,            0.037361,           0.0051305,                   0,             0.00076,             0.00076,             0.00076
