               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.055883,            0.009006,                   0,             0.95049,             0.88975,             0.92428,             0.46976,            0.031357,           0.0042702,                   0,            0.070007,           0.0033326,           0.0033326
                   1,            0.041664,           0.0062316,                   0,              0.9452,             0.87576,             0.92197,             0.47832,            0.031244,           0.0041452,                   0,            0.039941,           0.0065999,           0.0065999
                   2,             0.03961,           0.0060299,                   0,              0.9317,             0.87491,             0.92175,             0.48693,            0.031053,           0.0040599,                   0,           0.0098089,           0.0098013,           0.0098013
                   3,            0.038063,           0.0058579,                   0,             0.92698,             0.88256,             0.92592,             0.49557,            0.030502,           0.0040627,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.036383,           0.0056593,                   0,             0.91522,               0.883,             0.91752,             0.48972,            0.030706,           0.0039715,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.03531,           0.0055602,                   0,             0.91505,             0.88281,             0.91778,             0.49057,            0.030904,           0.0040187,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.034797,           0.0054727,                   0,             0.90884,             0.88213,             0.91758,             0.48845,            0.031166,           0.0040191,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.034362,           0.0054293,                   0,             0.91157,             0.88386,             0.92013,             0.48798,             0.03122,           0.0040359,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.033982,           0.0053982,                   0,             0.90743,             0.89081,             0.92188,             0.48649,            0.031032,           0.0040156,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.033621,           0.0053618,                   0,             0.90533,             0.89284,             0.92128,             0.48566,            0.031032,           0.0040078,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.033442,           0.0053069,                   0,             0.90763,             0.89595,             0.92261,             0.48422,             0.03111,           0.0040056,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.033228,           0.0052976,                   0,             0.90947,             0.89678,             0.92416,             0.48349,            0.031178,           0.0039975,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.032977,           0.0052607,                   0,             0.91242,             0.89838,             0.92644,             0.48391,            0.031121,           0.0039934,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.032772,            0.005254,                   0,             0.91312,             0.90269,             0.92679,              0.4797,              0.0313,           0.0040044,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.032614,           0.0052188,                   0,             0.91348,             0.90368,             0.92664,             0.47572,            0.031438,           0.0040377,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.032507,            0.005215,                   0,              0.9191,             0.89663,             0.92635,             0.47259,             0.03152,           0.0040722,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.03242,           0.0051749,                   0,             0.91997,             0.89811,             0.92646,             0.46971,            0.031545,           0.0040716,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.03225,           0.0051782,                   0,             0.91914,             0.89229,             0.92457,              0.4677,            0.031653,           0.0040958,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.032017,            0.005147,                   0,              0.9217,             0.89123,             0.92467,             0.46503,            0.031746,           0.0041346,                   0,            0.008317,            0.008317,            0.008317
                  19,              0.0319,           0.0051512,                   0,              0.9274,             0.88484,             0.92232,             0.46352,            0.031741,           0.0042019,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.031822,           0.0051412,                   0,             0.92912,             0.88182,             0.91951,              0.4613,            0.031835,           0.0042218,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.031684,           0.0051143,                   0,             0.93051,             0.88275,              0.9186,             0.45892,            0.031924,           0.0042288,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.031623,           0.0051142,                   0,             0.92897,             0.88249,              0.9174,             0.45795,            0.031995,           0.0042479,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031453,           0.0050954,                   0,              0.9308,             0.88145,             0.91526,             0.45349,            0.032171,           0.0042306,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031371,           0.0050959,                   0,             0.92655,             0.88088,              0.9157,             0.44971,            0.032378,           0.0042041,                   0,            0.007723,            0.007723,            0.007723
                  25,             0.03134,           0.0050662,                   0,             0.92589,             0.88077,             0.91583,             0.44613,            0.032579,           0.0041911,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.031106,           0.0050488,                   0,             0.92479,             0.87755,              0.9136,             0.44246,            0.032739,           0.0042182,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.031003,           0.0050299,                   0,              0.9218,             0.87863,              0.9118,             0.43787,            0.033013,           0.0041918,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.030926,           0.0050389,                   0,              0.9214,             0.87805,             0.91096,             0.43553,            0.033187,           0.0042134,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030906,           0.0050205,                   0,             0.92052,             0.87873,             0.91079,              0.4318,            0.033342,           0.0042279,                   0,            0.007228,            0.007228,            0.007228
                  30,              0.0307,           0.0049911,                   0,             0.91908,             0.87328,             0.90931,             0.43112,             0.03339,           0.0042618,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.030624,            0.004994,                   0,             0.91843,             0.86984,             0.90794,             0.42955,            0.033515,           0.0042963,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.030521,           0.0049852,                   0,             0.91895,             0.86332,               0.904,             0.42583,            0.033702,           0.0043246,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.030524,           0.0049567,                   0,             0.91549,             0.86604,             0.90222,              0.4251,            0.033748,           0.0043289,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.030304,           0.0049637,                   0,             0.91729,             0.86918,             0.90251,             0.42512,             0.03378,            0.004343,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.030253,           0.0049486,                   0,               0.917,             0.86697,               0.899,              0.4267,            0.033676,           0.0044045,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.030116,           0.0049218,                   0,             0.91657,              0.8671,             0.89823,             0.42655,            0.033641,           0.0044751,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.030098,           0.0049146,                   0,             0.91982,             0.85792,             0.89432,             0.42443,            0.033785,             0.00456,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.029945,           0.0049077,                   0,             0.92568,             0.84586,             0.89227,             0.42549,            0.033768,           0.0046571,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.029884,           0.0048926,                   0,             0.92257,              0.8427,             0.89037,             0.42407,            0.033968,           0.0046902,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.029815,           0.0048819,                   0,              0.9228,             0.84063,             0.89027,             0.42468,            0.033896,           0.0046964,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.029614,           0.0048948,                   0,             0.92579,             0.83795,             0.88962,             0.42531,             0.03395,           0.0046886,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.029618,            0.004859,                   0,             0.92476,              0.8354,             0.88773,             0.42637,            0.034045,           0.0046936,                   0,            0.005941,            0.005941,            0.005941
                  43,             0.02949,           0.0048635,                   0,             0.92072,             0.83862,             0.88908,             0.42836,            0.034144,           0.0046619,                   0,            0.005842,            0.005842,            0.005842
                  44,             0.02942,           0.0048403,                   0,             0.91348,              0.8479,             0.88991,             0.42493,            0.034242,           0.0046345,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.029267,            0.004816,                   0,             0.91146,             0.84817,             0.88953,             0.42326,            0.034338,           0.0046327,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.029197,           0.0048072,                   0,             0.91066,             0.85379,             0.88927,              0.4209,            0.034444,           0.0045963,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.029214,           0.0048181,                   0,             0.90972,              0.8544,             0.88942,             0.41956,            0.034598,           0.0045735,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.029104,           0.0047934,                   0,             0.90772,             0.85007,              0.8859,             0.41649,            0.034944,           0.0045963,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.029021,           0.0047871,                   0,              0.9109,             0.84703,             0.88439,             0.41553,             0.03511,           0.0045959,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.028932,           0.0047648,                   0,             0.91449,              0.8427,             0.88379,             0.41686,            0.035109,           0.0045999,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.028753,           0.0047551,                   0,             0.92349,             0.83335,             0.87965,             0.41568,            0.035192,            0.004633,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.028652,           0.0047524,                   0,             0.92397,              0.8315,             0.87321,             0.41363,             0.03543,           0.0046425,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.028573,           0.0047385,                   0,             0.92763,              0.8308,             0.87162,             0.41462,            0.035464,            0.004606,                   0,            0.004852,            0.004852,            0.004852
                  54,             0.02846,           0.0047336,                   0,             0.92765,             0.82883,             0.86641,             0.41596,            0.035573,             0.00462,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.028376,           0.0047068,                   0,             0.92293,             0.83026,             0.86702,             0.41728,            0.035488,            0.004625,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.028314,           0.0047095,                   0,             0.92481,             0.82747,             0.86503,              0.4157,            0.035658,           0.0046276,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.028203,           0.0046826,                   0,             0.92517,             0.82966,             0.86506,             0.41604,            0.035704,           0.0046132,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02811,           0.0046626,                   0,             0.92413,             0.82716,             0.86237,             0.41298,            0.035891,           0.0046273,                   0,            0.004357,            0.004357,            0.004357
                  59,             0.02801,           0.0046621,                   0,             0.92129,             0.82673,             0.86156,             0.41177,            0.036012,           0.0046105,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.027924,            0.004669,                   0,             0.91948,              0.8278,             0.86299,             0.41388,            0.035951,           0.0046533,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02771,            0.004636,                   0,             0.91992,             0.82605,             0.86102,             0.41592,            0.036037,            0.004673,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.027675,           0.0046178,                   0,               0.923,             0.82517,              0.8614,             0.41579,            0.036059,             0.00467,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.027591,           0.0045789,                   0,             0.92155,             0.82543,             0.86099,             0.41707,            0.035979,           0.0046953,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.027444,           0.0045936,                   0,             0.92211,             0.82407,             0.85978,             0.41656,            0.036116,           0.0047161,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.027349,           0.0045691,                   0,             0.92188,             0.82475,             0.85901,             0.41778,            0.036103,           0.0047129,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.027237,           0.0045837,                   0,             0.92297,             0.82551,             0.86001,             0.41992,             0.03606,           0.0047342,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.027156,           0.0045658,                   0,             0.92361,              0.8248,             0.86199,             0.42041,            0.036043,           0.0047754,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.027123,           0.0045426,                   0,             0.92214,              0.8271,             0.86391,             0.42153,             0.03598,           0.0047979,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.02691,           0.0045177,                   0,             0.92076,             0.82655,              0.8635,             0.42178,            0.036154,           0.0047882,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.026746,           0.0045125,                   0,             0.92159,             0.82382,               0.864,             0.42037,            0.036231,           0.0047736,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.026682,           0.0044887,                   0,              0.9227,              0.8232,             0.86403,             0.42074,            0.036182,           0.0047566,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.026589,           0.0044762,                   0,             0.92752,             0.81834,             0.86449,             0.42043,            0.036178,           0.0047923,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.026399,           0.0044642,                   0,             0.92742,             0.81763,             0.86592,             0.42144,            0.036139,           0.0048205,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.026258,           0.0044321,                   0,              0.9272,             0.81825,              0.8675,             0.42326,            0.035883,           0.0048186,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.02612,           0.0044251,                   0,             0.93161,             0.81231,             0.86773,             0.42379,            0.035811,           0.0048467,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.026064,           0.0044122,                   0,             0.92584,             0.81639,             0.86607,             0.42213,            0.035998,           0.0048537,                   0,            0.002575,            0.002575,            0.002575
