               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.021557,            0.002326,                   0,             0.99213,             0.57607,             0.59034,             0.36027,            0.029039,           0.0057578,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.021634,           0.0023243,                   0,             0.99516,             0.57943,             0.59355,             0.36089,            0.029397,           0.0055098,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.021304,           0.0023164,                   0,             0.99507,             0.57829,             0.59333,             0.36031,            0.029873,           0.0055094,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.021532,           0.0022994,                   0,              0.9955,             0.57752,             0.59318,             0.35821,            0.030116,           0.0052839,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.020985,           0.0022895,                   0,             0.99829,             0.57486,             0.58869,             0.35428,            0.030087,            0.005447,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.021289,           0.0022932,                   0,               0.998,             0.57072,              0.5873,             0.35675,             0.02973,           0.0055731,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.020722,            0.002254,                   0,             0.99803,              0.5794,             0.59384,             0.36245,             0.02946,           0.0054664,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.020754,           0.0022634,                   0,             0.99934,             0.57396,             0.59139,             0.35651,            0.029591,           0.0056146,                   0,            0.005644,            0.005644,            0.005644
                  46,              0.0211,            0.002308,                   0,             0.99543,             0.58073,             0.59263,             0.35663,            0.029516,           0.0056252,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.021401,           0.0022871,                   0,             0.99464,             0.58248,             0.59393,             0.35995,            0.029307,           0.0056098,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.020303,           0.0022227,                   0,             0.99414,             0.58135,             0.59326,             0.35757,            0.029574,           0.0056916,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.020581,           0.0022305,                   0,             0.99558,             0.58552,             0.59596,             0.35872,            0.029692,           0.0057617,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.020405,           0.0022041,                   0,             0.99566,             0.58552,             0.59652,             0.35699,              0.0298,            0.005759,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020115,           0.0022022,                   0,             0.99354,             0.58549,             0.59628,             0.35476,            0.029776,           0.0058486,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020061,           0.0022157,                   0,             0.99295,             0.58552,             0.59748,              0.3523,            0.029875,           0.0058133,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.020313,           0.0021955,                   0,             0.99231,             0.58514,             0.59688,              0.3551,            0.029759,           0.0058168,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.020011,           0.0022195,                   0,             0.99418,             0.58582,             0.59687,             0.35587,            0.029587,           0.0058033,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019903,           0.0022114,                   0,             0.99157,             0.58552,             0.59577,             0.35619,            0.029665,           0.0057576,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.01971,           0.0021923,                   0,             0.99201,              0.5859,             0.59518,             0.35427,            0.029773,           0.0057269,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.020043,           0.0021773,                   0,             0.99097,             0.58537,             0.59431,             0.35452,             0.02995,           0.0057027,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.019742,            0.002209,                   0,             0.99098,             0.58583,             0.59472,             0.35229,            0.030038,           0.0056898,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.019599,           0.0021651,                   0,             0.99097,             0.58549,             0.59426,             0.35155,            0.030134,           0.0056933,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.019996,           0.0021664,                   0,             0.99162,              0.5858,             0.59481,             0.35081,            0.030152,           0.0056678,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.019399,           0.0021418,                   0,             0.99312,             0.58705,             0.59514,             0.35128,            0.030189,           0.0056708,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.019283,           0.0021217,                   0,             0.99338,             0.58629,             0.59491,             0.35112,            0.030219,            0.005686,                   0,            0.003961,            0.003961,            0.003961
                  63,             0.01922,           0.0021388,                   0,             0.99312,             0.58514,             0.59437,             0.35105,            0.030222,           0.0056995,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.018581,           0.0021254,                   0,             0.99353,             0.58454,             0.59377,             0.35088,            0.030266,           0.0057011,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.019071,           0.0021249,                   0,             0.99351,             0.58316,             0.59334,             0.35077,            0.030324,           0.0056955,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.019002,           0.0021031,                   0,             0.99232,             0.58248,             0.59334,             0.35151,            0.030306,           0.0057113,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.019119,            0.002103,                   0,             0.99219,             0.58248,             0.59316,             0.35231,            0.030265,           0.0057315,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.019007,           0.0021089,                   0,             0.99212,             0.58248,             0.59312,             0.35218,            0.030262,           0.0057446,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018945,           0.0021082,                   0,             0.99221,             0.58194,             0.59294,             0.35286,            0.030235,           0.0057641,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.018596,           0.0020878,                   0,             0.99284,             0.58125,             0.59282,             0.35307,            0.030204,           0.0057838,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018823,           0.0021025,                   0,             0.99284,             0.58125,             0.59299,             0.35275,            0.030189,           0.0057918,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.018282,           0.0020515,                   0,             0.99285,              0.5817,             0.59304,             0.35384,            0.030163,           0.0058061,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.018335,           0.0020569,                   0,             0.99284,              0.5809,             0.59307,             0.35379,            0.030164,           0.0058236,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.018174,           0.0020646,                   0,             0.99413,             0.58111,             0.59309,              0.3541,            0.030185,           0.0058308,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.018115,           0.0020694,                   0,             0.99284,             0.58104,             0.59322,             0.35421,            0.030196,           0.0058293,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018093,           0.0020408,                   0,             0.99283,             0.58065,             0.59316,              0.3539,            0.030218,           0.0058409,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017883,            0.002038,                   0,             0.99412,             0.58013,             0.59314,             0.35361,            0.030225,           0.0058541,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.017606,           0.0020052,                   0,             0.99347,             0.58057,             0.59315,             0.35412,            0.030238,           0.0058619,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.018023,           0.0020537,                   0,             0.99373,             0.58057,             0.59321,             0.35436,            0.030246,           0.0058704,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.017725,           0.0020077,                   0,             0.99364,             0.58057,             0.59331,             0.35342,            0.030258,           0.0058725,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.017534,           0.0020209,                   0,             0.99371,             0.58057,             0.59333,              0.3533,            0.030274,           0.0058762,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.017498,           0.0020005,                   0,             0.99371,             0.58057,              0.5934,             0.35333,            0.030302,           0.0058731,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.017536,           0.0019847,                   0,             0.99413,             0.58027,             0.59346,              0.3533,            0.030321,           0.0058707,                   0,            0.001882,            0.001882,            0.001882
